KYBER_Q,KYBER_LEVEL,KYBER_K,KYBER_ETA1,KYBER_ETA2,KYBER_N_BLOCKS_FOR_DU0,KYBER_DU0,KYBER_DU1,KYBER_DV,CODE_ALPHA,CODE_BETA,DFR
3329,1,2,3,2,2,10,0,4,1664,0,1.6596293893560445949672789371598640277368427376835762285143628467758741450969650e-38
3329,1,2,3,2,2,10,0,4,1664,1,1.6598746044465062919412507599011687801307071782279892596131859845006281592221893e-38
3329,1,2,3,2,2,10,0,4,1664,2,1.6594260588346732633900170008418398215542120496219080471103429949518002973627339e-38
3329,1,2,3,2,2,10,0,4,1664,3,1.6589842769926492885708107410005056189079954743617398207882731005935682398357894e-38
3329,1,2,3,2,2,10,0,4,1664,4,1.6585653366616547830123774244279898106912741593900867990097028473045389097318780e-38
3329,1,2,3,2,2,10,0,4,1664,5,1.6582670212763345801457580779427979066046551938221100239733959931860578898756150e-38
3329,1,2,3,2,2,10,0,4,1664,6,1.6580888048894806457106835208182686042655340028772589915422060475865078292550842e-38
3329,1,2,3,2,2,10,0,4,1664,7,1.6579405044095025461335707448747911196531693042224649002667483329598595599003369e-38
3329,1,2,3,2,2,10,0,4,1664,8,1.6577709238536652718210264164806593764953219365265813239529751813006651641282808e-38
3329,1,2,3,2,2,10,0,4,1664,9,1.6576161559258350046036563440099804246029428197936093671383807232905006633826979e-38
3329,1,2,3,2,2,10,0,4,1664,10,1.6574400976158760360656644026335750520706288743556879435708805701042828349658829e-38
3329,1,2,3,2,2,10,0,4,1664,11,1.6572659980378691199936049795991464722313822792502149438187516573622365894320912e-38
3329,1,2,3,2,2,10,0,4,1664,12,1.6570798432190066843136182031315615366794191891568090086782936748231615652500071e-38
3329,1,2,3,2,2,10,0,4,1664,13,1.6568845417033304692143759369530379584444373388376565567836105363854189554871956e-38
3329,1,2,3,2,2,10,0,4,1664,14,1.6566781120491227480806975171241601137290180925786816800880010057266118625460836e-38
3329,1,2,3,2,2,10,0,4,1664,15,1.6563776973099050673037723269849651643189098951254526658185770597272499166833897e-38
3329,1,2,3,2,2,10,0,4,1664,16,1.6560941860588513511634524168750058821549244049408532150447521022081604378183981e-38
3329,1,2,3,2,2,10,0,4,1664,17,1.6558625150538761367928302423203413662874546385891394845927784726467185627519507e-38
3329,1,2,3,2,2,10,0,4,1664,18,1.6555861477529490785962314662099988354337036842006729764746920650441219681570788e-38
3329,1,2,3,2,2,10,0,4,1664,19,1.6552513893079695773219502359299449079750207740900153377572704408935243614811190e-38
3329,1,2,3,2,2,10,0,4,1664,20,1.6549537955657665458725310872202380281918379205166434955360377695000787501483512e-38
3329,1,2,3,2,2,10,0,4,1664,21,1.6546377393682935055051036469945557585427802973682587191779842055446931935457646e-38
3329,1,2,3,2,2,10,0,4,1664,22,1.6542927314022227536529882436171399736385738297298159211881261799329418945443291e-38
3329,1,2,3,2,2,10,0,4,1664,23,1.6538739266048656045612387753721649144039837579478332313420699462851764592940329e-38
3329,1,2,3,2,2,10,0,4,1664,24,1.6534120411778068595575367039998891983015770740849497037430112645258649319702770e-38
3329,1,2,3,2,2,10,0,4,1664,25,1.6529865741049481950580556290843058429638126588982183647301147129432975832735495e-38
3329,1,2,3,2,2,10,0,4,1664,26,1.6524570907412564840559048012436376067751319261056069028094194069084592039207241e-38
3329,1,2,3,2,2,10,0,4,1664,27,1.6520686392635081192510298568325761776760038447051478096486122529277845703921233e-38
3329,1,2,3,2,2,10,0,4,1664,28,1.6516959848631011194249738446062142678939971775888223493912813841643611884873909e-38
3329,1,2,3,2,2,10,0,4,1664,29,1.6511768467575026392420843358894816109664042274760347720087219900542247372190069e-38
3329,1,2,3,2,2,10,0,4,1664,30,1.6507452761472503961941481531405093931623940178285682123838749174176962948958662e-38
3329,1,2,3,2,2,10,0,4,1664,31,1.6500716955133595897928310593684655065134293418793627218954210176788376867263442e-38
3329,1,2,3,2,2,10,0,4,1664,32,1.6493528622383659497649934828992424124583811326789662649065869150831633063869143e-38
3329,1,2,3,2,2,10,0,4,1664,33,1.6490485112415955873453171183991385139844692563484291890206581109044886233634775e-38
3329,1,2,3,2,2,10,0,4,1664,34,1.6486165082119702276501003863615990608218477682560188255421248713696596239141161e-38
3329,1,2,3,2,2,10,0,4,1664,35,1.6477106287757381174207980605837912413015148210242433319404108815156598517899934e-38
3329,1,2,3,2,2,10,0,4,1664,36,1.6470995043042366387707084199086276510831459222189035386414122740367517931997233e-38
3329,1,2,3,2,2,10,0,4,1664,37,1.6462899133061533045319543674285228813213501362466545038085643734174455142341206e-38
3329,1,2,3,2,2,10,0,4,1664,38,1.6459587950588369155570832825990512755965388015576752910548294687679251536022853e-38
3329,1,2,3,2,2,10,0,4,1664,39,1.6451630826716366050489694011895959530457230963389771480975562939193134283559618e-38
3329,1,2,3,2,2,10,0,4,1664,40,1.6443175870306428985600155246634127256490399368684046217895583416893964889768576e-38
3329,1,2,3,2,2,10,0,4,1664,41,1.6434563158741468913121319838656172285504643694785644497295153590222500684182328e-38
3329,1,2,3,2,2,10,0,4,1664,42,1.6428113621889453305511150855608933879854698753407197691415214716508290992416947e-38
3329,1,2,3,2,2,10,0,4,1664,43,1.6420734118073025364519482785893771091007740581455674982633688485181723256801712e-38
3329,1,2,3,2,2,10,0,4,1664,44,1.6414078495344473512242800855087657985657438153098646514658184718922690747796656e-38
3329,1,2,3,2,2,10,0,4,1664,45,1.6401144319758903912360329196496568614101364740753638705955762444767134889498843e-38
3329,1,2,3,2,2,10,0,4,1664,46,1.6394086125624780008684672216642163261735037144055428473748245581869114950087764e-38
3329,1,2,3,2,2,10,0,4,1664,47,1.6385873590425687636034784855637578990078527360071583135721723050019696203523933e-38
3329,1,2,3,2,2,10,0,4,1664,48,1.6375836249740301622964052282883612924551569071106156244937330410947647458573836e-38
3329,1,2,3,2,2,10,0,4,1664,49,1.6365825486017885740003959949314141694798320277089022810784220151196138518348700e-38
3329,1,2,3,2,2,10,0,4,1664,50,1.6359244230403654800576594851422740054072585649572066024349678066727706751863721e-38
3329,1,2,3,2,2,10,0,4,1664,51,1.6346250666086768134452342555348315688095191313202968339201789005261716509331776e-38
3329,1,2,3,2,2,10,0,4,1664,52,1.6332323778597074955399698992415152228546761059692502822388603298093045461190815e-38
3329,1,2,3,2,2,10,0,4,1664,53,1.6326439882676190113603746287164591681130260039340304204788190084320348944202661e-38
3329,1,2,3,2,2,10,0,4,1664,54,1.6316461640156739875391393237413047967275986027591462919071810152420487352252112e-38
3329,1,2,3,2,2,10,0,4,1664,55,1.6304195016724228289405187317520227657102227592547164340602162550565594231435946e-38
3329,1,2,3,2,2,10,0,4,1664,56,1.6293960611653795757795721393700644277323554994252448388011400661084656435769495e-38
3329,1,2,3,2,2,10,0,4,1664,57,1.6283417494879056125870967095694379045414658611824316147073747010421393920319268e-38
3329,1,2,3,2,2,10,0,4,1664,58,1.6269943992975399265169475342890602292086876024645282332388680405562695077501703e-38
3329,1,2,3,2,2,10,0,4,1664,59,1.6259240614648093195606585676535761887495058874721234146851422298794124899134183e-38
3329,1,2,3,2,2,10,0,4,1664,60,1.6248343149028054997554733184642844652931768407087556052440034915640796516488695e-38
3329,1,2,3,2,2,10,0,4,1664,61,1.6232674375935673362152682504821463630859644380340464619735530947938675986794027e-38
3329,1,2,3,2,2,10,0,4,1664,62,1.6222834173157361145026199852331272595557255790267771236296091305062909308755701e-38
3329,1,2,3,2,2,10,0,4,1664,63,1.6208313033683838556663691622892664789481606268404921566439355371352732903358243e-38
3329,1,2,3,2,2,10,0,4,1664,64,1.6186602789839512906090164389836748902993218802415952833856405110193197858107491e-38
3329,1,2,3,2,2,10,0,4,1664,65,1.6181395410993259818490617909402806408307308708816504844212172858910210433806912e-38
3329,1,2,3,2,2,10,0,4,1664,66,1.6166070649171089926143707225057069368333738314316216391959633808195733832053513e-38
3329,1,2,3,2,2,10,0,4,1664,67,1.6150256698514591102804857807337465026883585283514514677063243624692668954162558e-38
3329,1,2,3,2,2,10,0,4,1664,68,1.6139553240491757808315075686889306702262875848581978168786322288188936113794346e-38
3329,1,2,3,2,2,10,0,4,1664,69,1.6126629050069789975446732619864514608362323231341559043031750550379934505067884e-38
3329,1,2,3,2,2,10,0,4,1664,70,1.6105381256833305070166469426179845967523840420289270411106569692958161957990324e-38
3329,1,2,3,2,2,10,0,4,1664,71,1.6089455553826793760075703792557314634712269353306516719511856744829585371777748e-38
3329,1,2,3,2,2,10,0,4,1664,72,1.6073518055839134282692022903759172285193253157200864276648428822228330861537276e-38
3329,1,2,3,2,2,10,0,4,1664,73,1.6058163660819300687302382150565451395405061527824034332291896915074059111004029e-38
3329,1,2,3,2,2,10,0,4,1664,74,1.6046182855409850257618803131203871147753490006083950768813564552906555214255980e-38
3329,1,2,3,2,2,10,0,4,1664,75,1.6022080559432120227827670870365408296260351345733496843857006247342122551009794e-38
3329,1,2,3,2,2,10,0,4,1664,76,1.6011400870536456874676136516672177660904598920924804453602402340901397327046759e-38
3329,1,2,3,2,2,10,0,4,1664,77,1.5990044083523005400014562977529298087066172822805154496432845637393562520641925e-38
3329,1,2,3,2,2,10,0,4,1664,78,1.5967327999580054047939801143143407689845354625335434776789742219715709800646671e-38
3329,1,2,3,2,2,10,0,4,1664,79,1.5952941158252455674874782987430409891434203033622818952349827222482953284338150e-38
3329,1,2,3,2,2,10,0,4,1664,80,1.5931514981434896275837245316290583560625572824569828886126529881118509584820721e-38
3329,1,2,3,2,2,10,0,4,1664,81,1.5911054544438941371688052357343372165920819474194223299114802201118012442490037e-38
3329,1,2,3,2,2,10,0,4,1664,82,1.5894709537733767313704717003083935784539958143209097218106026400143065791950241e-38
3329,1,2,3,2,2,10,0,4,1664,83,1.5887825014540000664975901304412248919637123892238079130181346349536154219237840e-38
3329,1,2,3,2,2,10,0,4,1664,84,1.5851831410473088088263067093853361229297591765698885969917207828805187142454173e-38
3329,1,2,3,2,2,10,0,4,1664,85,1.5833496448963795168594271088361583519886039682553054325964574033928977993486474e-38
3329,1,2,3,2,2,10,0,4,1664,86,1.5808501244474224910304663166625826457613527891822996907362727187373161771476544e-38
3329,1,2,3,2,2,10,0,4,1664,87,1.5788186277880006674417239362189369072457394003582003540111609733866733568538025e-38
3329,1,2,3,2,2,10,0,4,1664,88,1.5769239506860678841205245475572516860568492937638520540337263732729640280437640e-38
3329,1,2,3,2,2,10,0,4,1664,89,1.5751461380405126931779284620211101605584786054060565068261125277738846358462532e-38
3329,1,2,3,2,2,10,0,4,1664,90,1.5731648647146746304917888875801537589414917245741697940140555303948799896427863e-38
3329,1,2,3,2,2,10,0,4,1664,91,1.5701328270053891545841992537771713679878644846250248675327007050017699747804025e-38
3329,1,2,3,2,2,10,0,4,1664,92,1.5672507088216689692463500893645010465894531894047781130376029308262708606974691e-38
3329,1,2,3,2,2,10,0,4,1664,93,1.5652695311483172494346455269635332019884497989770919688767244632445027581640253e-38
