level,function,cycles_avg,cycles_stddev,code_dimension,null_eta2
1,kyber_keypair,90354,269,1,False
1,kyber_encaps,94506,426,1,False
1,kyber_decaps,110449,643,1,False
3,kyber_keypair,143334,540,1,False
3,kyber_encaps,154471,465,1,False
3,kyber_decaps,177351,588,1,False
5,kyber_keypair,228103,544,1,False
5,kyber_encaps,242147,280,1,False
5,kyber_decaps,273784,562,1,False
1,poly_frommsg,448,5,1,False
1,poly_tomsg,807,13,1,False
1,kyber_keypair,90570,535,2,False
1,kyber_encaps,94876,193,2,False
1,kyber_decaps,112338,301,2,False
3,kyber_keypair,143904,212,2,False
3,kyber_encaps,155239,549,2,False
3,kyber_decaps,180046,352,2,False
5,kyber_keypair,228007,186,2,False
5,kyber_encaps,242514,370,2,False
5,kyber_decaps,275965,265,2,False
1,poly_frommsg,333,6,2,False
1,poly_tomsg,2719,79,2,False
1,kyber_keypair,90578,322,4,False
1,kyber_encaps,94359,339,4,False
1,kyber_decaps,118274,341,4,False
3,kyber_keypair,143938,587,4,False
3,kyber_encaps,155599,351,4,False
3,kyber_decaps,186650,553,4,False
5,kyber_keypair,228732,460,4,False
5,kyber_encaps,242149,172,4,False
5,kyber_decaps,281951,481,4,False
1,poly_frommsg,343,11,4,False
1,poly_tomsg,7930,70,4,False
1,kyber_keypair,90439,647,1,True
1,kyber_encaps,84086,608,1,True
1,kyber_decaps,100089,98,1,True
3,kyber_keypair,143999,473,1,True
3,kyber_encaps,145032,636,1,True
3,kyber_decaps,168285,478,1,True
5,kyber_keypair,228408,333,1,True
5,kyber_encaps,231033,538,1,True
5,kyber_decaps,263077,543,1,True
1,poly_frommsg,435,6,1,True
1,poly_tomsg,824,21,1,True
1,kyber_keypair,90696,573,2,True
1,kyber_encaps,84004,214,2,True
1,kyber_decaps,102504,537,2,True
3,kyber_keypair,144707,596,2,True
3,kyber_encaps,144728,335,2,True
3,kyber_decaps,169927,107,2,True
5,kyber_keypair,228180,547,2,True
5,kyber_encaps,225058,609,2,True
5,kyber_decaps,259317,538,2,True
1,poly_frommsg,332,10,2,True
1,poly_tomsg,2728,22,2,True
1,kyber_keypair,90510,535,4,True
1,kyber_encaps,83875,577,4,True
1,kyber_decaps,107873,545,4,True
3,kyber_keypair,143521,334,4,True
3,kyber_encaps,144492,535,4,True
3,kyber_decaps,175312,559,4,True
5,kyber_keypair,228406,618,4,True
5,kyber_encaps,224928,420,4,True
5,kyber_decaps,264936,593,4,True
1,poly_frommsg,332,5,4,True
1,poly_tomsg,7944,77,4,True
