level,function,cycles_avg,cycles_median,code_dimension,null_eta2
5,gen_a,21537,21021,1,True
5,poly_getnoise_eta1,1431,1428,1,True
5,poly_getnoise_eta2,1458,1444,1,True
5,poly_getnoise_eta1_4x,1672,1670,1,True
5,NTT,152,153,1,True
5,INVNTT,164,165,1,True
5,polyvec_basemul_acc_montgomery,293,291,1,True
5,poly_tomsg,17,17,1,True
5,poly_frommsg,24,25,1,True
5,poly_compress,39,39,1,True
5,poly_decompress,26,27,1,True
5,polyvec_compress,508,507,1,True
5,polyvec_decompress,170,170,1,True
5,indcpa_keypair,30428,29398,1,True
5,indcpa_enc,26325,26035,1,True
5,indcpa_dec,1582,1542,1,True
5,kyber_keypair,42072,41126,1,True
5,kyber_encaps,54992,54285,1,True
5,kyber_decaps,43717,43135,1,True
5,kex_uake_initA,97723,94526,1,True
5,kex_uake_sharedB,97652,96230,1,True
5,kex_uake_sharedA,43286,43016,1,True
5,kex_ake_initA,95460,94435,1,True
5,kex_ake_sharedB,154692,151030,1,True
5,kex_ake_sharedA,86007,85145,1,True
1,gen_a,5526,5309,4,False
1,poly_getnoise_eta1,3737,4530,4,False
1,poly_getnoise_eta2,1692,1436,4,False
1,poly_getnoise_eta1_4x,3285,3244,4,False
1,NTT,164,153,4,False
1,INVNTT,164,164,4,False
1,polyvec_basemul_acc_montgomery,130,130,4,False
1,poly_tomsg,982,973,4,False
1,poly_frommsg,60,60,4,False
1,poly_compress,21,17,4,False
1,poly_decompress,23,23,4,False
1,polyvec_compress,195,196,4,False
1,polyvec_decompress,55,55,4,False
1,indcpa_keypair,11439,11361,4,False
1,indcpa_enc,12042,12032,4,False
1,indcpa_dec,1915,1913,4,False
1,kyber_keypair,18305,17754,4,False
1,kyber_encaps,27338,26780,4,False
1,kyber_decaps,22261,22125,4,False
1,kex_uake_initA,44833,44522,4,False
1,kex_uake_sharedB,50157,49596,4,False
1,kex_uake_sharedA,23064,22798,4,False
1,kex_ake_initA,44258,43563,4,False
1,kex_ake_sharedB,78702,76464,4,False
1,kex_ake_sharedA,45841,44600,4,False
5,gen_a,21457,20622,2,True
