level,function,cycles_avg,cycles_stddev,code_dimension,null_eta2
1,kyber_keypair,407712,2477,1,False
1,kyber_encaps,407261,16,1,False
1,kyber_decaps,445143,11,1,False
3,kyber_keypair,664982,3099,1,False
3,kyber_encaps,683047,15,1,False
3,kyber_decaps,733119,14,1,False
5,kyber_keypair,1054700,4355,1,False
5,kyber_encaps,1067940,13,1,False
5,kyber_decaps,1132049,17,1,False
1,poly_frommsg,6676,13,1,False
1,poly_tomsg,3587,10,1,False
1,kyber_keypair,407460,1935,2,False
1,kyber_encaps,402512,15,2,False
1,kyber_decaps,446056,9,2,False
3,kyber_keypair,664851,2901,2,False
3,kyber_encaps,677710,13,2,False
3,kyber_decaps,733445,13,2,False
5,kyber_keypair,1054287,3970,2,False
5,kyber_encaps,1063408,8,2,False
5,kyber_decaps,1133111,17,2,False
1,poly_frommsg,2017,8,2,False
1,poly_tomsg,9248,15,2,False
1,kyber_keypair,407586,2212,4,False
1,kyber_encaps,402410,15,4,False
1,kyber_decaps,456849,15,4,False
3,kyber_keypair,664897,2887,4,False
3,kyber_encaps,677776,14,4,False
3,kyber_decaps,744404,17,4,False
5,kyber_keypair,1054335,3722,4,False
5,kyber_encaps,1062754,11,4,False
5,kyber_decaps,1143413,13,4,False
1,poly_frommsg,1771,8,4,False
1,poly_tomsg,20142,14,4,False
1,kyber_keypair,407472,1954,1,True
1,kyber_encaps,362070,9,1,True
1,kyber_decaps,399952,15,1,True
3,kyber_keypair,664801,2739,1,True
3,kyber_encaps,622637,13,1,True
3,kyber_decaps,672707,7,1,True
5,kyber_keypair,1054310,4042,1,True
5,kyber_encaps,992371,17,1,True
5,kyber_decaps,1056469,14,1,True
1,poly_frommsg,6677,13,1,True
1,poly_tomsg,3587,10,1,True
1,kyber_keypair,407351,1614,2,True
1,kyber_encaps,357251,14,2,True
1,kyber_decaps,400795,15,2,True
3,kyber_keypair,665154,3221,2,True
3,kyber_encaps,618097,9,2,True
3,kyber_decaps,673827,8,2,True
5,kyber_keypair,1054725,4032,2,True
5,kyber_encaps,988100,15,2,True
5,kyber_decaps,1057797,14,2,True
1,poly_frommsg,2017,8,2,True
1,poly_tomsg,9248,15,2,True
1,kyber_keypair,407679,2481,4,True
1,kyber_encaps,357216,13,4,True
1,kyber_decaps,411653,15,4,True
3,kyber_keypair,664795,2721,4,True
3,kyber_encaps,618229,11,4,True
3,kyber_decaps,684854,17,4,True
5,kyber_keypair,1054666,4400,4,True
5,kyber_encaps,988167,15,4,True
5,kyber_decaps,1068821,12,4,True
1,poly_frommsg,1771,8,4,True
1,poly_tomsg,20142,14,4,True
