level,function,cycles_avg,cycles_median,code_dimension,null_eta2
5,gen_a,77258,76352,4,True
5,poly_getnoise_eta1,1493,1488,4,True
5,poly_getnoise_eta2,1549,1490,4,True
5,NTT,6297,6123,4,True
5,INVNTT,9343,9045,4,True
5,polyvec_basemul_acc_montgomery,13226,12600,4,True
5,poly_tomsg,953,907,4,True
5,poly_frommsg,57,57,4,True
5,poly_compress,692,680,4,True
5,poly_decompress,444,444,4,True
5,polyvec_compress,3887,3659,4,True
5,polyvec_decompress,2627,2397,4,True
5,indcpa_keypair,218162,211936,4,True
5,indcpa_enc,225409,217456,4,True
5,indcpa_dec,54193,51944,4,True
5,kyber_keypair,230499,225499,4,True
5,kyber_encaps,254636,246061,4,True
5,kyber_decaps,290634,283890,4,True
5,kex_uake_initA,501432,477960,4,True
5,kex_uake_sharedB,552495,532060,4,True
5,kex_uake_sharedA,295172,285520,4,True
5,kex_ake_initA,505314,488665,4,True
5,kex_ake_sharedB,816350,788498,4,True
5,kex_ake_sharedA,596401,569827,4,True
1,gen_a,20392,18498,2,False
1,poly_getnoise_eta1,2292,2286,2,False
1,poly_getnoise_eta2,1525,1521,2,False
1,NTT,6185,6154,2,False
1,INVNTT,9453,9422,2,False
1,polyvec_basemul_acc_montgomery,6917,6708,2,False
1,poly_tomsg,414,396,2,False
1,poly_frommsg,78,78,2,False
1,poly_compress,144,144,2,False
1,poly_decompress,36,37,2,False
1,polyvec_compress,2753,2988,2,False
1,polyvec_decompress,1769,1249,2,False
1,indcpa_keypair,83475,79154,2,False
1,indcpa_enc,95080,92840,2,False
1,indcpa_dec,31681,30855,2,False
1,kyber_keypair,86946,85909,2,False
1,kyber_encaps,115316,110206,2,False
1,kyber_decaps,139665,132535,2,False
1,kex_uake_initA,207189,196468,2,False
1,kex_uake_sharedB,252753,243774,2,False
1,kex_uake_sharedA,141547,133488,2,False
1,kex_ake_initA,202439,196075,2,False
1,kex_ake_sharedB,362511,353606,2,False
1,kex_ake_sharedA,279168,265366,2,False
3,gen_a,43706,42642,1,True
3,poly_getnoise_eta1,1565,1560,1,True
3,poly_getnoise_eta2,1573,1563,1,True
3,NTT,8167,6538,1,True
3,INVNTT,9081,9021,1,True
3,polyvec_basemul_acc_montgomery,12204,10206,1,True
3,poly_tomsg,252,247,1,True
3,poly_frommsg,256,229,1,True
3,poly_compress,164,162,1,True
3,poly_decompress,36,36,1,True
3,polyvec_compress,2803,2797,1,True
3,polyvec_decompress,1885,1883,1,True
3,indcpa_keypair,156840,144822,1,True
3,indcpa_enc,166460,152192,1,True
3,indcpa_dec,43548,42450,1,True
3,kyber_keypair,155827,148973,1,True
3,kyber_encaps,178584,169192,1,True
3,kyber_decaps,205875,197913,1,True
3,kex_uake_initA,329504,318673,1,True
3,kex_uake_sharedB,382734,368890,1,True
3,kex_uake_sharedA,213244,199491,1,True
3,kex_ake_initA,328626,325663,1,True
3,kex_ake_sharedB,563052,542200,1,True
3,kex_ake_sharedA,412423,400041,1,True
1,gen_a,19302,19205,1,False
1,poly_getnoise_eta1,2343,2337,1,False
1,poly_getnoise_eta2,1565,1563,1,False
1,NTT,6487,6478,1,False
1,INVNTT,8954,8930,1,False
1,polyvec_basemul_acc_montgomery,7016,6887,1,False
1,poly_tomsg,171,172,1,False
1,poly_frommsg,240,213,1,False
1,poly_compress,164,146,1,False
1,poly_decompress,34,35,1,False
1,polyvec_compress,1796,1767,1,False
1,polyvec_decompress,1231,1208,1,False
1,indcpa_keypair,80783,79287,1,False
1,indcpa_enc,93931,92223,1,False
1,indcpa_dec,31561,30670,1,False
1,kyber_keypair,91433,88674,1,False
1,kyber_encaps,112411,109658,1,False
1,kyber_decaps,135868,131484,1,False
1,kex_uake_initA,207126,197510,1,False
1,kex_uake_sharedB,254286,242629,1,False
1,kex_uake_sharedA,135927,132749,1,False
1,kex_ake_initA,205866,200209,1,False
1,kex_ake_sharedB,364485,352341,1,False
1,kex_ake_sharedA,273109,264827,1,False
3,gen_a,43333,42633,1,False
3,poly_getnoise_eta1,1499,1494,1,False
3,poly_getnoise_eta2,1517,1492,1,False
3,NTT,6643,6246,1,False
3,INVNTT,10063,8634,1,False
3,polyvec_basemul_acc_montgomery,9947,9755,1,False
3,poly_tomsg,180,178,1,False
3,poly_frommsg,222,223,1,False
3,poly_compress,148,148,1,False
3,poly_decompress,35,36,1,False
3,polyvec_compress,2806,2802,1,False
3,polyvec_decompress,1886,1885,1,False
3,indcpa_keypair,141351,138648,1,False
3,indcpa_enc,154577,151830,1,False
3,indcpa_dec,42300,42364,1,False
3,kyber_keypair,151453,149075,1,False
3,kyber_encaps,179286,174608,1,False
3,kyber_decaps,211651,203479,1,False
3,kex_uake_initA,333390,330573,1,False
3,kex_uake_sharedB,390093,378978,1,False
3,kex_uake_sharedA,210075,204459,1,False
3,kex_ake_initA,335948,325105,1,False
3,kex_ake_sharedB,575068,561106,1,False
3,kex_ake_sharedA,422362,408511,1,False
3,gen_a,43212,41719,2,True
3,poly_getnoise_eta1,1550,1535,2,True
3,poly_getnoise_eta2,1550,1535,2,True
3,NTT,7026,6262,2,True
3,INVNTT,9478,9287,2,True
3,polyvec_basemul_acc_montgomery,10110,9897,2,True
3,poly_tomsg,403,402,2,True
3,poly_frommsg,79,80,2,True
3,poly_compress,144,145,2,True
3,poly_decompress,34,35,2,True
3,polyvec_compress,2848,2734,2,True
3,polyvec_decompress,1845,1839,2,True
3,indcpa_keypair,141618,138057,2,True
3,indcpa_enc,155005,147934,2,True
3,indcpa_dec,41668,41049,2,True
3,kyber_keypair,151741,148276,2,True
3,kyber_encaps,173445,170735,2,True
3,kyber_decaps,205340,200356,2,True
3,kex_uake_initA,328269,320896,2,True
3,kex_uake_sharedB,382385,374783,2,True
3,kex_uake_sharedA,207916,202880,2,True
3,kex_ake_initA,330182,321480,2,True
3,kex_ake_sharedB,562068,544288,2,True
3,kex_ake_sharedA,418817,401478,2,True
3,gen_a,43094,42616,4,False
3,poly_getnoise_eta1,1548,1486,4,False
3,poly_getnoise_eta2,1520,1489,4,False
3,NTT,6576,6123,4,False
3,INVNTT,9218,9047,4,False
3,polyvec_basemul_acc_montgomery,9884,9706,4,False
3,poly_tomsg,925,926,4,False
3,poly_frommsg,60,60,4,False
3,poly_compress,151,148,4,False
3,poly_decompress,35,36,4,False
3,polyvec_compress,2771,2738,4,False
3,polyvec_decompress,1858,1833,4,False
3,indcpa_keypair,140603,138461,4,False
3,indcpa_enc,159550,156863,4,False
3,indcpa_dec,42985,42639,4,False
3,kyber_keypair,153423,149138,4,False
3,kyber_encaps,181434,176665,4,False
3,kyber_decaps,211337,206870,4,False
3,kex_uake_initA,336466,327400,4,False
3,kex_uake_sharedB,397405,384298,4,False
3,kex_uake_sharedA,221228,212462,4,False
3,kex_ake_initA,338821,327015,4,False
3,kex_ake_sharedB,583125,575144,4,False
3,kex_ake_sharedA,427122,414510,4,False
3,gen_a,43836,42583,4,True
3,poly_getnoise_eta1,1535,1520,4,True
3,poly_getnoise_eta2,1538,1521,4,True
3,NTT,6658,6266,4,True
3,INVNTT,9463,9248,4,True
3,polyvec_basemul_acc_montgomery,10243,9925,4,True
3,poly_tomsg,933,926,4,True
3,poly_frommsg,58,59,4,True
3,poly_compress,147,148,4,True
3,poly_decompress,37,38,4,True
3,polyvec_compress,2738,2735,4,True
3,polyvec_decompress,1830,1837,4,True
3,indcpa_keypair,143225,138515,4,True
3,indcpa_enc,152408,148000,4,True
3,indcpa_dec,42658,41781,4,True
3,kyber_keypair,154066,149019,4,True
3,kyber_encaps,174363,170832,4,True
3,kyber_decaps,208604,205452,4,True
3,kex_uake_initA,329388,321129,4,True
3,kex_uake_sharedB,381209,372598,4,True
3,kex_uake_sharedA,207908,201934,4,True
3,kex_ake_initA,325836,319598,4,True
3,kex_ake_sharedB,559829,545186,4,True
3,kex_ake_sharedA,407266,402302,4,True
5,gen_a,76524,74688,1,False
5,poly_getnoise_eta1,1493,1490,1,False
5,poly_getnoise_eta2,1514,1491,1,False
5,NTT,6349,6212,1,False
5,INVNTT,8577,8515,1,False
5,polyvec_basemul_acc_montgomery,12846,12738,1,False
5,poly_tomsg,171,171,1,False
5,poly_frommsg,230,213,1,False
5,poly_compress,753,713,1,False
5,poly_decompress,466,467,1,False
5,polyvec_compress,3871,3658,1,False
5,polyvec_decompress,2454,2399,1,False
5,indcpa_keypair,222511,213293,1,False
5,indcpa_enc,232353,228195,1,False
5,indcpa_dec,53305,52101,1,False
5,kyber_keypair,236195,230692,1,False
5,kyber_encaps,265070,258372,1,False
5,kyber_decaps,300779,295068,1,False
5,kex_uake_initA,498438,486717,1,False
5,kex_uake_sharedB,556817,542922,1,False
5,kex_uake_sharedA,305668,297305,1,False
5,kex_ake_initA,508386,502957,1,False
5,kex_ake_sharedB,838357,825367,1,False
5,kex_ake_sharedA,606392,593082,1,False
1,gen_a,19284,18824,4,True
1,poly_getnoise_eta1,2320,2286,4,True
1,poly_getnoise_eta2,1537,1523,4,True
1,NTT,6210,6158,4,True
1,INVNTT,9558,9430,4,True
1,polyvec_basemul_acc_montgomery,6740,6562,4,True
1,poly_tomsg,927,916,4,True
1,poly_frommsg,60,60,4,True
1,poly_compress,153,144,4,True
1,poly_decompress,34,34,4,True
1,polyvec_compress,1925,1767,4,True
1,polyvec_decompress,1254,1182,4,True
1,indcpa_keypair,81599,78302,4,True
1,indcpa_enc,90371,88406,4,True
1,indcpa_dec,32203,31840,4,True
1,kyber_keypair,86600,85611,4,True
1,kyber_encaps,111126,105948,4,True
1,kyber_decaps,131960,128674,4,True
1,kex_uake_initA,198211,192136,4,True
1,kex_uake_sharedB,241886,236101,4,True
1,kex_uake_sharedA,136010,132931,4,True
1,kex_ake_initA,196717,192297,4,True
1,kex_ake_sharedB,351263,341742,4,True
1,kex_ake_sharedA,264448,258654,4,True
5,gen_a,77700,76186,2,True
5,poly_getnoise_eta1,1570,1567,2,True
5,poly_getnoise_eta2,1568,1561,2,True
5,NTT,6508,6496,2,True
5,INVNTT,9168,9148,2,True
5,polyvec_basemul_acc_montgomery,13115,13108,2,True
5,poly_tomsg,396,396,2,True
5,poly_frommsg,78,78,2,True
5,poly_compress,692,681,2,True
5,poly_decompress,448,445,2,True
5,polyvec_compress,3713,3667,2,True
5,polyvec_decompress,2399,2397,2,True
5,indcpa_keypair,220997,214163,2,True
5,indcpa_enc,222672,215402,2,True
5,indcpa_dec,51650,51063,2,True
5,kyber_keypair,230560,225712,2,True
5,kyber_encaps,252907,245829,2,True
5,kyber_decaps,290755,282804,2,True
5,kex_uake_initA,491496,477249,2,True
5,kex_uake_sharedB,552851,529277,2,True
5,kex_uake_sharedA,290459,282731,2,True
5,kex_ake_initA,490434,477439,2,True
5,kex_ake_sharedB,811041,798008,2,True
5,kex_ake_sharedA,604922,581555,2,True
3,gen_a,43515,43597,2,False
3,poly_getnoise_eta1,1530,1521,2,False
3,poly_getnoise_eta2,1530,1525,2,False
3,NTT,6329,6246,2,False
3,INVNTT,9326,9297,2,False
3,polyvec_basemul_acc_montgomery,9713,9676,2,False
3,poly_tomsg,393,393,2,False
3,poly_frommsg,78,78,2,False
3,poly_compress,141,142,2,False
3,poly_decompress,35,34,2,False
3,polyvec_compress,2678,2673,2,False
3,polyvec_decompress,1984,1801,2,False
3,indcpa_keypair,141027,137936,2,False
3,indcpa_enc,158228,156910,2,False
3,indcpa_dec,41867,41046,2,False
3,kyber_keypair,151057,148935,2,False
3,kyber_encaps,181155,176524,2,False
3,kyber_decaps,212210,206203,2,False
3,kex_uake_initA,335239,326682,2,False
3,kex_uake_sharedB,397103,384333,2,False
3,kex_uake_sharedA,212253,207604,2,False
3,kex_ake_initA,334332,326482,2,False
3,kex_ake_sharedB,578940,561763,2,False
3,kex_ake_sharedA,433326,422353,2,False
1,gen_a,19048,18474,1,True
1,poly_getnoise_eta1,2328,2296,1,True
1,poly_getnoise_eta2,1542,1529,1,True
1,NTT,6409,6335,1,True
1,INVNTT,8822,8739,1,True
1,polyvec_basemul_acc_montgomery,6963,6938,1,True
1,poly_tomsg,183,171,1,True
1,poly_frommsg,213,212,1,True
1,poly_compress,144,144,1,True
1,poly_decompress,36,37,1,True
1,polyvec_compress,1827,1765,1,True
1,polyvec_decompress,1309,1184,1,True
1,indcpa_keypair,81328,78685,1,True
1,indcpa_enc,91767,91052,1,True
1,indcpa_dec,31142,30077,1,True
1,kyber_keypair,88731,86651,1,True
1,kyber_encaps,106872,104881,1,True
1,kyber_decaps,131494,129505,1,True
1,kex_uake_initA,196137,191904,1,True
1,kex_uake_sharedB,243491,233557,1,True
1,kex_uake_sharedA,135321,128544,1,True
1,kex_ake_initA,197290,195402,1,True
1,kex_ake_sharedB,350072,338490,1,True
1,kex_ake_sharedA,268544,260642,1,True
1,gen_a,19464,19270,2,True
1,poly_getnoise_eta1,2345,2339,2,True
1,poly_getnoise_eta2,1580,1559,2,True
1,NTT,6341,6295,2,True
